DE,UKR,freq_DE,freq_UKR,ratio,log_diff,cosine_similarity
Ingenieur,інженер,305486,298306,1.024,0.0237,0.6995182160498867
Parlament,парламент,620307,842762,0.736,-0.307,0.6862544436067562
Kapital,капітал,444140,761068,0.583,-0.54,0.6740445801761947
Plan,план,1491390,2589322,0.576,-0.551,0.6700626383609082
Fotoapparat,фотоапарат,26617,62907,0.423,-0.861,0.6698673645496492
Minister,міністр,319314,2064061,0.155,-1.866,0.6588585525439982
Symbol,символ,578701,672386,0.861,-0.149,0.6512563012377193
Thermometer,термометр,51379,57173,0.898,-0.108,0.6503355687656084
Balkon,балкон,421406,200291,2.1037,0.744,0.6443477176823521
Student,студент,750174,2773992,0.27,-1.309,0.6440853900660016
Konflikt,конфлікт,833466,925034,0.901,-0.104,0.6422918975654817
Papier,папір,861625,906681,0.95,-0.0513,0.6407340575184717
Material,матеріал,2479499,4726487,0.525,-0.645,0.6342394669148942
Zucker,цукор,505604,519170,0.974,-0.026,0.6338986062364129
Agent,агент,189522,292860,0.6473,-0.4353,0.6338436530768016
Virus,вірус,555625,438965,1.266,0.236,0.6308533781316124
Museum,музей,1561723,1576852,0.991,-0.009,0.6293284930339414
Ballett,балет,67776,76191,0.8897,-0.1168,0.62847920421753
Auktion,аукціон,103920,293363,0.3542,-1.0387,0.6272674172140283
Effekt,ефект,889888,1100618,0.8083,-0.2127,0.6255686326068688
Liter,літр,648610,242871,2.67,0.982,0.6239980600331109
Patent,патент,201105,133822,1.503,0.407,0.6226475046425267
Radio,радіо,704475,451743,1.559,0.444,0.621519536060358
Element,елемент,1384697,2067001,0.6699,-0.4007,0.6198628810988905
Kabel,кабель,528484,263587,2.005,0.696,0.6183117665053242
Automat,автомат,109118,228758,0.477,-0.7404,0.6176149867254326
Park,парк,1007593,922741,1.092,0.088,0.6167405220729922
Ballerina,балерина,10976,13927,0.7879,-0.2384,0.6136790575516495
Streik,страйк,165538,83073,1.993,0.689,0.6111257157018726
Oper,опера,327511,4637,70.62,4.257,0.6082890062919377
Partner,партнер,2208442,1080164,2.044,0.715,0.6055922153266919
Kosmonaut,космонавт,10099,48236,0.209,-1.565,0.6027989101383775
Aquarium,акваріум,160070,71882,2.2273,0.8011,0.6014400276476464
Bank,банк,1920361,2574951,0.7457,-0.2938,0.6006910244206963
Anatom,анатом,6255,2960,2.1132,0.7484,0.6004344947649783
Chaos,хаос,281166,90350,3.111,1.1352,0.6001395666002662
Vulkan,вулкан,144526,70885,2.039,0.712,0.599855058149302
Arena,арена,248927,173478,1.435,0.3616,0.5992864366566841
Boxer,боксер,64067,82002,0.7812,-0.2468,0.5992768768225325
Theater,театр,961288,963678,0.998,-0.002,0.5990848644007352
Madonna,мадонна,69755,29482,2.366,0.862,0.5978050976136005
Thema,тема,8000033,2611433,3.062,1.119,0.5976118271974532
Alkohol,алкоголь,487630,336645,1.4485,0.3703,0.5929150935452574
Resultat,результат,397786,5949367,0.0669,-2.706,0.5927841622307016
Prozess,процес,2069291,5935676,0.348,-1.056,0.5903309832316816
Dach,дах,803419,77689,10.34,2.336,0.5871937587076725
Prinzip,принцип,1044337,1883367,0.554,-0.59,0.5859419723243662
Aggressor,агресор,16881,97843,0.1725,-1.7564,0.5854811746531321
Doktor,доктор,157749,595292,0.265,-1.327,0.5810027008468571
Quadrat,квадрат,105107,111564,0.942,-0.06,0.5787753440658941
Katholik,католик,145448,73613,1.975,0.681,0.5771807794309566
Trainer,тренер,1038093,678856,1.529,0.425,0.5764835407763984
Helikopter,гелікоптер,40773,39644,1.028,0.0276,0.575259366523586
Propaganda,пропаганда,150756,258708,0.583,-0.54,0.573611985850051
Papyrus,папірус,18778,10731,1.749,0.559,0.5730667177091056
Orden,орден,238844,326141,0.732,-0.312,0.5710872496177307
Stil,стиль,968505,1204473,0.804,-0.218,0.5710445575116939
Start,старт,1566751,304246,5.153,1.639,0.5684107513650534
Chef,шеф,593558,53857,11.02,2.398,0.5680479620380173
Vakuum,вакуум,52841,44295,1.192,0.176,0.567685764097405
Kredit,кредит,574451,1031234,0.557,-0.585,0.5673192203961392
Werft,верф,88682,15164,5.847,1.77,0.5672538063396023
Eisberg,айсберг,41104,20498,2.005,0.696,0.5669017735998774
Kalender,календар,351080,249280,1.408,0.342,0.565423846488645
Standard,стандарт,1079155,1166930,0.925,-0.078,0.5643424320370934
Argument,аргумент,628545,258644,2.431,0.8881,0.5636668764460971
Sport,спорт,1593240,1322690,1.204,0.185,0.5628120962309268
Minus,мінус,195662,209573,0.934,-0.068,0.5626792085221346
Konstruktor,конструктор,7204,129634,0.0556,-2.89,0.561474755068422
