DE,freq_DE,UKR,freq_UKR,ratio,log_diff,Class
Abiturient,35463,абітурієнт,153350,0.2313,-1.4664,1
Abonnement,95590,абонемент,48040,1.9897,0.6877,1
Abonnent,81246,абонент,133400,0.6089,-0.4971,1
Absatz,965448,абзац,202992,4.7563,1.5585,1
Advokat,14533,адвокат,531988,0.0273,-3.6023,1
Agent,189522,агент,292860,0.6473,-0.4353,1
Aggressor,16881,агресор,97843,0.1725,-1.7564,1
Agitator,6779,агітатор,15250,0.4447,-0.8114,1
Akzent,212546,акцент,230841,0.9208,-0.0827,1
Akzept,1287,акцепт,12320,0.1044,-2.2591,1
Akt,230728,акт,1497640,0.154,-1.8717,1
Akkord,56173,акорд,39876,1.4093,0.3427,1
Allianz,239990,альянс,176495,1.3602,0.3077,1
Alkohol,487630,алкоголь,336645,1.4485,0.3703,1
Amateur,105266,аматор,58002,1.815,0.596,1
Anatom,6255,анатом,2960,2.1132,0.7484,1
Apparat,83812,апарат,983754,0.0852,-2.4628,1
Aquarium,160070,акваріум,71882,2.2273,0.8011,1
Äquator,30390,екватор,27082,1.122,0.1152,1
Ära,137887,ера,126275,1.0919,0.088,1
Archiv,903232,архів,547612,1.6498,0.5004,1
Arena,248927,арена,173478,1.435,0.3616,1
Argument,628545,аргумент,258644,2.431,0.8881,1
Attestation,668,атестація,164170,0.0041,-5.497,1
Auktion,103920,аукціон,293363,0.3542,-1.0387,1
Autobus,12494,автобус,578013,0.0216,-3.8354,1
Autograph,10308,автограф,45728,0.2254,-1.4898,1
Atom,119280,атом,135311,0.8816,-0.1262,1
Automat,109118,автомат,228758,0.477,-0.7404,1
Autor,2234699,автор,2597554,0.8604,-0.1503,1
Autorität,164319,авторитет,219582,0.7486,-0.2893,1
Ballerina,10976,балерина,13927,0.7879,-0.2384,1
Ballett,67776,балет,76191,0.8897,-0.1168,1
Ballon,73095,балон,72636,1.0063,0.0063,1
Balkon,421406,балкон,200291,2.1037,0.744,1
Band,2972729,бант,18864,157.63,5.0584,1
Bit,174082,біт,43483,4.0028,1.3868,1
Block,424070,блок,945301,0.4486,-0.8019,1
Bank,1920361,банк,2574951,0.7457,-0.2938,1
Basketball,94547,баскетбол,83826,1.128,0.1204,1
Bord,530045,борт,184647,2.8713,1.0555,1
Borg,47364,борг,602976,0.0785,-2.5454,1
Boxer,64067,боксер,82002,0.7812,-0.2468,1
Büro,940962,бюро,319841,2.9412,1.0792,1
Büstenhalter,3830,бюстгальтер,25775,0.1486,-1.9051,1
Café,428946,кафе,268385,1.598,0.469,1
Chaos,281166,хаос,90350,3.111,1.1352,1
Charter,19152,чартер,7309,2.62,0.9631,1
Chef,593558,шеф,53857,11.02,2.398,1
Chor,411465,хор,249075,1.6519,0.5014,1
Computer,940698,комп’ютер,907309,1.0368,0.0361,1
Cousin,71862,кузен,7053,10.19,2.322,1
Dach,803419,дах,77689,10.34,2.336,1
Deponent,62,депонент,5057,0.0123,-4.398,1
Depot,154892,депо,54524,2.841,1.044,1
Diamant,109878,діамант,58918,1.865,0.624,1
Divis,1063,дефіс,9108,0.1167,-2.147,1
Doktor,157749,доктор,595292,0.265,-1.327,1
Druck,1528626,друк,357745,4.273,1.452,1
Drucker,214286,друкар,10165,21.09,3.047,1
Effekt,889888,ефект,1100618,0.8083,-0.2127,1
Eisberg,41104,айсберг,20498,2.005,0.696,1
Element,1384697,елемент,2067001,0.6699,-0.4007,1
Fach,728376,фах,122704,5.936,1.78,1
Fauna,95535,фауна,63612,1.502,0.406,1
Fotoapparat,26617,фотоапарат,62907,0.423,-0.861,1
Front,412477,фронт,566896,0.727,-0.319,1
Fracht,46815,фрахт,6130,7.64,2.034,1
Galopp,24120,галоп,3525,6.84,1.923,1
Grund,5995954,ґрунт,617831,9.705,2.272,1
Hasard,691,азарт,25064,0.0276,-3.59,1
Helikopter,40773,гелікоптер,39644,1.028,0.0276,1
Humor,336475,гумор,153817,2.188,0.783,1
Ideal,1635762,ідеал,231595,7.06,1.953,1
Idiot,75682,ідіот,28481,2.657,0.977,1
Immunität,50441,імунітет,237952,0.212,-1.551,1
Index,293848,індекс,304766,0.964,-0.0367,1
Ingenieur,305486,інженер,298306,1.024,0.0237,1
Insult,1316,інсульт,113079,0.0116,-4.454,1
Journal,190444,журнал,907309,0.21,-1.56,1
Jubilar,33651,ювіляр,32658,1.03,0.0296,1
Jäger,330900,єгер,10484,31.56,3.451,1
Kabel,528484,кабель,263587,2.005,0.696,1
Kachel,30788,кахель,15831,1.945,0.666,1
Kader,199033,кадр,556507,0.357,-1.03,1
Kaktus,29477,кактус,23894,1.233,0.209,1
Kalender,351080,календар,249280,1.408,0.342,1
Karat,22050,карат,10868,2.028,0.707,1
Kapital,444140,капітал,761068,0.583,-0.54,1
Katholik,145448,католик,73613,1.975,0.681,1
Kollektiv,294026,колектив,1343363,0.219,-1.518,1
Komma,70889,кома,243982,0.29,-1.238,1
Konflikt,833466,конфлікт,925034,0.901,-0.104,1
Konstruktor,7204,конструктор,129634,0.0556,-2.89,1
Konvent,48783,конвент,7963,6.123,1.811,1
Kopiatur,9,копіатор,0,,,1
Kosmonaut,10099,космонавт,48236,0.209,-1.565,1
Krach,36660,крах,62190,0.589,-0.53,1
Kram,63306,крам,11302,5.6,1.722,1
Krämer,51142,крамар,11092,4.61,1.529,1
Kredit,574451,кредит,1031234,0.557,-0.585,1
Kristall,114820,кристал,110594,1.038,0.037,1
Kurator,55807,куратор,104320,0.535,-0.626,1
Kurort,49177,курорт,243252,0.202,-1.598,1
Kurs,1518847,курс,2117957,0.717,-0.333,1
Lexikon,168024,лексикон,16933,9.92,2.295,1
Lektor,45646,лектор,49310,0.926,-0.0767,1
Lepra,8516,лепра,1191,7.15,1.967,1
Liter,648610,літр,242871,2.67,0.982,1
Lyzeum,9121,ліцей,383528,0.0238,-3.737,1
Museum,1561723,музей,1576852,0.991,-0.009,1
Madonna,69755,мадонна,29482,2.366,0.862,1
Mafia,60849,мафія,37784,1.61,0.476,1
Magnat,9453,магнат,38187,0.247,-1.399,1
Makler,120573,маклер,4160,28.99,3.367,1
Material,2479499,матеріал,4726487,0.525,-0.645,1
Meter,2501292,метр,1067185,2.343,0.852,1
Minister,319314,міністр,2064061,0.155,-1.866,1
Minus,195662,мінус,209573,0.934,-0.068,1
Moment,1947095,момент,2342306,0.831,-0.185,1
Mus,29302,мус,13814,2.121,0.752,1
Muskel,323504,мускул,3342,96.8,4.572,1
Nerv,296208,нерв,190648,1.553,0.44,1
Null,415453,нуль,213247,1.948,0.667,1
Nutria,2328,нутрія,3617,0.643,-0.442,1
Objekt,1178830,об'єкт,2824471,0.417,-0.875,1
Oper,327511,опера,4637,70.62,4.257,1
Orden,238844,орден,326141,0.732,-0.312,1
Pakt,64378,пакт,37704,1.707,0.536,1
Panorama,159466,панорама,59739,2.669,0.982,1
Papier,861625,папір,906681,0.95,-0.0513,1
Papyrus,18778,папірус,10731,1.749,0.559,1
Park,1007593,парк,922741,1.092,0.088,1
Parkett,95820,паркет,52999,1.808,0.593,1
Parlament,620307,парламент,842762,0.736,-0.307,1
Partner,2208442,партнер,1080164,2.044,0.715,1
Pascha,21985,паша,23411,0.939,-0.063,1
Patent,201105,патент,133822,1.503,0.407,1
Perlmutter,1349,перламутр,6308,0.214,-1.543,1
Personal,846253,персонал,690175,1.226,0.204,1
Plan,1491390,план,2589322,0.576,-0.551,1
Plastik,203691,пластик,183204,1.112,0.106,1
Podium,84242,подіум,32118,2.622,0.964,1
Präparat,120424,препарат,1522844,0.0791,-2.536,1
Präsent,281273,презент,30672,9.171,2.216,1
Präsident,1295671,президент,3411662,0.379,-0.97,1
Prinzip,1044337,принцип,1883367,0.554,-0.59,1
Projekt,4948609,проєкт,902400,5.485,1.704,1
Propaganda,150756,пропаганда,258708,0.583,-0.54,1
Provisor,1910,провізор,15835,0.12,-2.12,1
Prozess,2069291,процес,5935676,0.348,-1.056,1
Premierminister,115103,прем’єр-міністр,0,,,1
Psalm,113329,псалом,34365,3.297,1.193,1
Puder,32278,пудра,44352,0.727,-0.319,1
Pullover,80896,пуловер,4818,16.79,2.82,1
Pult,26458,пульт,111444,0.237,-1.44,1
Punkt,4074351,пункт,2329498,1.748,0.559,1
Quadrat,105107,квадрат,111564,0.942,-0.06,1
Radikal,400760,радикал,67142,5.966,1.786,1
Radio,704475,радіо,451743,1.559,0.444,1
Ranzen,10290,ранець,9463,1.087,0.083,1
Rapport,14097,рапорт,32970,0.427,-0.852,1
Resultat,397786,результат,5949367,0.0669,-2.706,1
Saal,315687,зал,976684,0.323,-1.13,1
Scheck,58452,чек,123943,0.471,-0.753,1
Schema,133424,схема,1010900,0.132,-2.026,1
Schnitzel,56635,шніцель,2768,20.46,3.017,1
Schnur,94871,шнур,65020,1.458,0.377,1
Skala,123731,шкала,154044,0.803,-0.219,1
Sockel,128801,цоколь,40985,3.143,,1
Sockel,128801,цоколь,40985,3.143,1.145,1
Spieß,64076,спис,53619,1.195,0.178,1
Sport,1593240,спорт,1322690,1.204,0.185,1
Schrift,798296,шрифт,106408,7.502,2.015,1
Stab,164964,штаб,413837,0.398,-0.922,1
Stahl,319690,сталь,139690,2.288,0.827,1
Stand,1897582,стан,4697875,0.404,-0.907,1
Standard,1079155,стандарт,1166930,0.925,-0.078,1
Start,1566751,старт,304246,5.153,1.639,1
Stempel,146964,штемпель,8274,17.76,2.876,1
Stift,281727,штифт,12500,22.54,3.114,1
Stil,968505,стиль,1204473,0.804,-0.218,1
Straus,4411,страус,14464,0.305,-1.187,1
Streik,165538,страйк,83073,1.993,0.689,1
Strich,234572,штрих,43422,5.402,1.686,1
Sturm,413896,шторм,50769,8.153,2.099,1
Student,750174,студент,2773992,0.27,-1.309,1
Sturm,413896,штурм,105628,3.919,1.366,1
Subjekt,156969,суб’єкт,0,,,1
Symbol,578701,символ,672386,0.861,-0.149,1
Synonym,166249,синонім,68974,2.41,0.881,1
Tabu,108935,табу,25022,4.352,1.471,1
Talent,463695,талант,399370,1.161,0.149,1
Tandem,37085,тандем,33687,1.101,0.096,1
Taxi,203285,таксі,147779,1.376,0.319,1
Telefon,905329,телефон,1195394,0.757,-0.278,1
Termin,1589204,термін,2297730,0.692,-0.368,1
Test,1492727,тест,590231,2.528,0.928,1
Text,3055254,текст,1700869,1.796,0.586,1
Theater,961288,театр,963678,0.998,-0.002,1
Thema,8000033,тема,2611433,3.062,1.119,1
Thermometer,51379,термометр,57173,0.898,-0.108,1
Tiger,167457,тигр,48011,3.486,1.247,1
Ton,829753,тон,359762,2.306,0.836,1
Toast,32858,тост,27728,1.185,0.17,1
Tour,1340141,тур,69699,19.23,2.955,1
Trainer,1038093,тренер,678856,1.529,0.425,1
Transport,590296,транспорт,1071819,0.551,-0.596,1
Typ,1003217,тип,2517762,0.398,-0.922,1
Universität,2542516,університет,3273895,0.777,-0.252,1
Vakuum,52841,вакуум,44295,1.192,0.176,1
Valuta,2577,валюта,503237,0.0051,-5.278,1
Vampir,144246,вампір,27995,5.153,1.639,1
Ventil,129294,вентиль,25570,5.056,1.62,1
Virus,555625,вірус,438965,1.266,0.236,1
Vulkan,144526,вулкан,70885,2.039,0.712,1
Wall,158927,вал,207041,0.768,-0.264,1
Werft,88682,верф,15164,5.847,1.77,1
Zeder,13597,кедр,20586,0.66,-0.415,1
Zebra,57548,зебра,16765,3.431,1.233,1
Zentimeter,373926,сантиметр,143772,2.602,0.957,1
Zentrum,1390829,центр,5470567,0.254,-1.372,1
Zickzack,9654,зигзаг,7899,1.222,0.2,1
Ziel,5276525,ціль,1423711,3.705,1.31,1
Zink,97098,цинк,89673,1.083,0.08,1
Zobel,9485,соболь,15088,0.628,-0.465,1
Zucker,505604,цукор,519170,0.974,-0.026,1
